step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
56	0x1.2497260000000p-4	0x1.92f7ea0000000p-1	0x1.86da8c0000000p-1	0x1.cfacca0000000p-5	0x1.c5e2fa0000000p+10
57	0x1.04d1ce0000000p-4	0x1.14a2fc0000000p+0	0x1.0aee920000000p+0	0x1.4b27f20000000p-4	0x1.c5e2fa0000000p+10
58	0x1.0acaae0000000p-4	0x1.82c3520000000p-1	0x1.77d0400000000p-1	0x1.085ff60000000p-4	0x1.c5e2fa0000000p+10
59	0x1.0664820000000p-4	0x1.8e67f00000000p-1	0x1.8635680000000p-1	0x1.dff0280000000p-5	0x1.c5e2fa0000000p+10
60	0x1.bf38300000000p-5	0x1.726fb00000000p-1	0x1.6938d00000000p-1	0x1.b6b4b20000000p-5	0x1.c5e2fa0000000p+10
61	0x1.9f4e9a0000000p-5	0x1.16916e0000000p+0	0x1.1348660000000p+0	0x1.77dfda0000000p-4	0x1.c5e2fa0000000p+10
62	0x1.397c860000000p-4	0x1.ab1ac60000000p-1	0x1.a239100000000p-1	0x1.f55a6c0000000p-5	0x1.c5e2fa0000000p+10
63	0x1.c050600000000p-5	0x1.f6ca3e0000000p-1	0x1.ee13d00000000p-1	0x1.3ba3f80000000p-4	0x1.c5e2fa0000000p+10
64	0x1.abc70e0000000p-5	0x1.1c72240000000p-1	0x1.15832a0000000p-1	0x1.4a71fa0000000p-5	0x1.c5e2fa0000000p+10
65	0x1.a3d7300000000p-4	0x1.25269c0000000p+0	0x1.1d74d80000000p+0	0x1.84a3360000000p-4	0x1.c5e2fa0000000p+10
66	0x1.402d880000000p-4	0x1.eb24d80000000p-1	0x1.df0cfc0000000p-1	0x1.45ece60000000p-4	0x1.c5e2fa0000000p+10
67	0x1.eea4d40000000p-5	0x1.9f2dc00000000p-1	0x1.986bd60000000p-1	0x1.c6674c0000000p-5	0x1.c5e2fa0000000p+10
68	0x1.32449c0000000p-4	0x1.4d3a600000000p-1	0x1.4342bc0000000p-1	0x1.a270fe0000000p-5	0x1.c5e2f80000000p+10
69	0x1.2348f00000000p-4	0x1.909a0e0000000p-1	0x1.859d500000000p-1	0x1.f3afd20000000p-5	0x1.c5e2f80000000p+10
70	0x1.2a3e160000000p-4	0x1.7723fe0000000p-1	0x1.6dd5ea0000000p-1	0x1.f02c7c0000000p-5	0x1.c5e2f80000000p+10
71	0x1.e0ff060000000p-5	0x1.c72aec0000000p-1	0x1.bfee460000000p-1	0x1.04e2c00000000p-4	0x1.c5e2f80000000p+10
72	0x1.76bd2e0000000p-5	0x1.6927880000000p-1	0x1.61f9460000000p-1	0x1.e2b9cc0000000p-5	0x1.c5e2f80000000p+10
73	0x1.60b30e0000000p-5	0x1.7483900000000p-1	0x1.6cf6a80000000p-1	0x1.bf39600000000p-5	0x1.c5e2f80000000p+10
74	0x1.5cf91a0000000p-4	0x1.ae358e0000000p-1	0x1.a46b540000000p-1	0x1.fbc9d80000000p-5	0x1.c5e2f80000000p+10
75	0x1.29b7780000000p-4	0x1.7af7560000000p-1	0x1.6fea8c0000000p-1	0x1.e87f180000000p-5	0x1.c5e2f80000000p+10
76	0x1.953d660000000p-5	0x1.57a31c0000000p-1	0x1.4eeaf00000000p-1	0x1.cf2bd00000000p-5	0x1.c5e2f80000000p+10
77	0x1.54b58e0000000p-5	0x1.23b2300000000p-1	0x1.1ccb840000000p-1	0x1.68508c0000000p-5	0x1.c5e2fa0000000p+10
78	0x1.6e8dc00000000p-5	0x1.03d1c80000000p-1	0x1.fb7e560000000p-2	0x1.3fd3320000000p-5	0x1.c5e2f80000000p+10
79	0x1.564aee0000000p-5	0x1.aa6f100000000p-1	0x1.a35f620000000p-1	0x1.1aa4a20000000p-4	0x1.c5e2f80000000p+10
80	0x1.7179fc0000000p-5	0x1.1eb1740000000p+0	0x1.1b3e540000000p+0	0x1.6b250a0000000p-4	0x1.c5e2f80000000p+10
81	0x1.f0aaca0000000p-5	0x1.949f200000000p-1	0x1.899d860000000p-1	0x1.ce800e0000000p-5	0x1.c5e2f80000000p+10
82	0x1.aa857a0000000p-5	0x1.aab0620000000p-1	0x1.a2cd580000000p-1	0x1.ef41ee0000000p-5	0x1.c5e2f80000000p+10
83	0x1.47a2100000000p-5	0x1.34b98a0000000p-1	0x1.2cb8ec0000000p-1	0x1.ad10960000000p-5	0x1.c5e2f80000000p+10
84	0x1.a633fa0000000p-5	0x1.62af680000000p-1	0x1.5b114e0000000p-1	0x1.c6cada0000000p-5	0x1.c5e2f80000000p+10
85	0x1.c031fa0000000p-5	0x1.28f9060000000p-1	0x1.2155100000000p-1	0x1.6cd7ee0000000p-5	0x1.c5e2f80000000p+10
86	0x1.0137e60000000p-4	0x1.3525600000000p-1	0x1.2caa6e0000000p-1	0x1.8337100000000p-5	0x1.c5e2fa0000000p+10
87	0x1.28772e0000000p-5	0x1.9294920000000p-1	0x1.8c856c0000000p-1	0x1.11f47a0000000p-4	0x1.c5e2f80000000p+10
88	0x1.228d3e0000000p-4	0x1.bc9a440000000p-1	0x1.b1a60e0000000p-1	0x1.fd73a40000000p-5	0x1.c5e2f80000000p+10
