2026/08/26 20:27:51.766, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:51.766, 1, 0 %, 0 %, 440 MiB, 64.59 W
2026/08/26 20:27:52.266, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:52.352, 1, 0 %, 0 %, 440 MiB, 64.59 W
2026/08/26 20:27:52.978, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:52.979, 1, 0 %, 0 %, 440 MiB, 56.09 W
2026/08/26 20:27:53.479, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:53.509, 1, 0 %, 0 %, 440 MiB, 56.09 W
2026/08/26 20:27:54.131, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:54.132, 1, 0 %, 0 %, 440 MiB, 58.08 W
2026/08/26 20:27:54.632, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:54.650, 1, 0 %, 0 %, 440 MiB, 58.08 W
2026/08/26 20:27:55.267, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:55.268, 1, 0 %, 0 %, 440 MiB, 69.76 W
2026/08/26 20:27:55.768, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:55.861, 1, 0 %, 0 %, 440 MiB, 74.29 W
2026/08/26 20:27:56.513, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:56.513, 1, 0 %, 0 %, 440 MiB, 74.29 W
2026/08/26 20:27:57.013, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:57.136, 1, 0 %, 0 %, 440 MiB, 58.62 W
2026/08/26 20:27:57.756, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:57.757, 1, 0 %, 0 %, 440 MiB, 58.62 W
2026/08/26 20:27:58.257, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:58.279, 1, 0 %, 0 %, 440 MiB, 52.70 W
2026/08/26 20:27:58.895, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:58.895, 1, 0 %, 0 %, 440 MiB, 70.78 W
2026/08/26 20:27:59.395, 0, 0 %, 0 %, 44646 MiB, 77.91 W
2026/08/26 20:27:59.409, 1, 0 %, 0 %, 440 MiB, 70.78 W
2026/08/26 20:28:00.032, 0, 0 %, 0 %, 44646 MiB, 77.91 W
