step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
38	0x1.51a6840000000p-2	0x1.8b06420000000p+5	0x1.24bfec0000000p+5	0x1.0866820000000p+5	0x1.c2c5e20000000p+10
39	0x1.2535500000000p-2	0x1.3c07660000000p+4	0x1.daea3e0000000p+3	0x1.9c4a9c0000000p+3	0x1.c2c5e20000000p+10
40	0x1.2456a40000000p-2	0x1.d8ddf40000000p+3	0x1.7130720000000p+3	0x1.1ee2280000000p+3	0x1.c2c5e20000000p+10
41	0x1.8aac840000000p-2	0x1.a7926e0000000p+3	0x1.5f0f300000000p+3	0x1.b09f220000000p+2	0x1.c2c5e20000000p+10
42	0x1.6841d40000000p-2	0x1.29ef620000000p+6	0x1.c3665e0000000p+5	0x1.842d200000000p+5	0x1.c2c5e20000000p+10
43	0x1.a34c3e0000000p-3	0x1.1077980000000p+3	0x1.ab65920000000p+2	0x1.41dc1c0000000p+2	0x1.c2c5e20000000p+10
44	0x1.8644f80000000p-3	0x1.69767c0000000p+2	0x1.139de00000000p+2	0x1.b263120000000p+1	0x1.c2c5e20000000p+10
45	0x1.12cd640000000p-2	0x1.e090060000000p+3	0x1.6e53060000000p+3	0x1.2eb9760000000p+3	0x1.c2c5e20000000p+10
46	0x1.b2971a0000000p-3	0x1.8153f20000000p+2	0x1.3141820000000p+2	0x1.afd4620000000p+1	0x1.c2c5e20000000p+10
47	0x1.d503100000000p-2	0x1.1c06220000000p+4	0x1.d543180000000p+3	0x1.14cb220000000p+3	0x1.c2c5e20000000p+10
48	0x1.0a1ede0000000p-2	0x1.4c61760000000p+3	0x1.0f3e9a0000000p+3	0x1.7464b60000000p+2	0x1.c2c5e20000000p+10
49	0x1.c1fb140000000p-3	0x1.dbee1e0000000p+2	0x1.7cf0cc0000000p+2	0x1.10ac1e0000000p+2	0x1.c2c5e20000000p+10
50	0x1.35de1e0000000p-2	0x1.cbd4cc0000000p+3	0x1.78dd700000000p+3	0x1.fc22000000000p+2	0x1.c2c5e20000000p+10
51	0x1.66980e0000000p-3	0x1.7c1d980000000p+3	0x1.2def580000000p+3	0x1.c582de0000000p+2	0x1.c2c5e20000000p+10
52	0x1.a4ab0a0000000p-3	0x1.e6a1a80000000p+2	0x1.8603760000000p+2	0x1.111e660000000p+2	0x1.c2c5e20000000p+10
53	0x1.9da2d40000000p-3	0x1.03a6c60000000p+2	0x1.a866c20000000p+1	0x1.fe67180000000p+0	0x1.c2c5e20000000p+10
54	0x1.a779ce0000000p-3	0x1.5458320000000p+2	0x1.0bd9380000000p+2	0x1.85b8340000000p+1	0x1.c2c5e20000000p+10
55	0x1.d3417a0000000p-3	0x1.a080ba0000000p+2	0x1.56f9d00000000p+2	0x1.b8acc40000000p+1	0x1.c2c5e20000000p+10
56	0x1.6e5f300000000p-3	0x1.3f23d40000000p+3	0x1.db64de0000000p+2	0x1.a26fe00000000p+2	0x1.c2c5e20000000p+10
57	0x1.d8fed60000000p-3	0x1.6520ea0000000p+3	0x1.1fa3040000000p+3	0x1.96b66a0000000p+2	0x1.c2c5e20000000p+10
58	0x1.af22c00000000p-3	0x1.77b8ec0000000p+3	0x1.212c380000000p+3	0x1.d51aa20000000p+2	0x1.c2c5e20000000p+10
59	0x1.344a160000000p-3	0x1.b654140000000p+2	0x1.4acce80000000p+2	0x1.1a3fba0000000p+2	0x1.c2c5e20000000p+10
60	0x1.4737060000000p-3	0x1.ad330a0000000p+1	0x1.6293dc0000000p+1	0x1.9c44f40000000p+0	0x1.c2c5e20000000p+10
61	0x1.0197780000000p-3	0x1.620cd00000000p+3	0x1.1b1a160000000p+3	0x1.a5347c0000000p+2	0x1.c2c5e20000000p+10
62	0x1.051d4c0000000p-3	0x1.55a81c0000000p+2	0x1.05cb8e0000000p+2	0x1.ab0a900000000p+1	0x1.c2c5e20000000p+10
63	0x1.735c9a0000000p-3	0x1.d63f000000000p+1	0x1.8cde100000000p+1	0x1.b245a40000000p+0	0x1.c2c5e20000000p+10
64	0x1.8f36160000000p-3	0x1.878ac60000000p+4	0x1.40cd920000000p+4	0x1.bdc4580000000p+3	0x1.c2c5e20000000p+10
65	0x1.a2e9800000000p-3	0x1.2e98ca0000000p+3	0x1.d218ac0000000p+2	0x1.73b15a0000000p+2	0x1.c2c5e20000000p+10
66	0x1.62e03c0000000p-3	0x1.ae701c0000000p+2	0x1.4ef0280000000p+2	0x1.0370f60000000p+2	0x1.c2c5e20000000p+10
67	0x1.3e280e0000000p-3	0x1.7975400000000p+1	0x1.3b786a0000000p+1	0x1.4c1cf20000000p+0	0x1.c2c5e20000000p+10
68	0x1.509cdc0000000p-3	0x1.5a7d5e0000000p+1	0x1.1a9f6e0000000p+1	0x1.5d168e0000000p+0	0x1.c2c5e20000000p+10
69	0x1.e3058e0000000p-4	0x1.b9909c0000000p+2	0x1.4a22840000000p+2	0x1.222d040000000p+2	0x1.c2c5e20000000p+10
70	0x1.238d8e0000000p-3	0x1.57f9e20000000p+4	0x1.f8455c0000000p+3	0x1.d360c40000000p+3	0x1.c2c5e20000000p+10
71	0x1.3e0ae60000000p-3	0x1.2364bc0000000p+2	0x1.c781360000000p+1	0x1.61aa9c0000000p+1	0x1.c2c5e20000000p+10
72	0x1.3abfee0000000p-3	0x1.9548320000000p+1	0x1.4ba4200000000p+1	0x1.a74b260000000p+0	0x1.c2c5e20000000p+10
73	0x1.ef54100000000p-4	0x1.21ab060000000p+2	0x1.b7d95a0000000p+1	0x1.709b040000000p+1	0x1.c2c5e40000000p+10
74	0x1.5312760000000p-3	0x1.4f26ac0000000p+2	0x1.fd6ade0000000p+1	0x1.986c320000000p+1	0x1.c2c5e20000000p+10
75	0x1.5791e80000000p-3	0x1.f6b3920000000p+2	0x1.8ae0520000000p+2	0x1.33dace0000000p+2	0x1.c2c5e20000000p+10
76	0x1.3eba1e0000000p-3	0x1.0ed4440000000p+3	0x1.9810b60000000p+2	0x1.4ffd5e0000000p+2	0x1.c2c5e20000000p+10
77	0x1.7a86b00000000p-3	0x1.7aa4fa0000000p+8	0x1.1c2da20000000p+8	0x1.f45f8a0000000p+7	0x1.c2c5e40000000p+10
78	0x1.09ecee0000000p-3	0x1.333f320000000p+3	0x1.e39cc20000000p+2	0x1.78f8740000000p+2	0x1.c2c5e40000000p+10
79	0x1.0cf81e0000000p-3	0x1.2f4b6e0000000p+2	0x1.c733080000000p+1	0x1.8495c40000000p+1	0x1.c2c5e40000000p+10
80	0x1.ba606e0000000p-3	0x1.3084fc0000000p+7	0x1.c74b5a0000000p+6	0x1.9459f20000000p+6	0x1.c2c5e40000000p+10
81	0x1.fb02660000000p-4	0x1.58a1580000000p+3	0x1.fdeb960000000p+2	0x1.cde7b40000000p+2	0x1.c2c5e40000000p+10
82	0x1.36725a0000000p-3	0x1.aa8de00000000p+7	0x1.40c1120000000p+7	0x1.19227c0000000p+7	0x1.c2c5e40000000p+10
