step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
83	0x1.bb3d860000000p-4	0x1.75b14a0000000p+1	0x1.362f120000000p+1	0x1.86a9300000000p+0	0x1.c2c5e20000000p+10
84	0x1.b5c47a0000000p-4	0x1.2dfd440000000p+3	0x1.c290640000000p+2	0x1.8ef8620000000p+2	0x1.c2c5e20000000p+10
85	0x1.dd14000000000p-4	0x1.7e919c0000000p+1	0x1.3079160000000p+1	0x1.a61cc40000000p+0	0x1.c2c5e20000000p+10
86	0x1.16ee060000000p-3	0x1.61affc0000000p+3	0x1.0b09780000000p+3	0x1.cd46240000000p+2	0x1.c2c5e40000000p+10
87	0x1.24287a0000000p-3	0x1.5759300000000p+3	0x1.08f3300000000p+3	0x1.b13f6c0000000p+2	0x1.c2c5e60000000p+10
88	0x1.295e9c0000000p-3	0x1.161a100000000p+5	0x1.ac4dac0000000p+4	0x1.623dcc0000000p+4	0x1.c2c5e40000000p+10
89	0x1.93637a0000000p-4	0x1.fbafc00000000p+2	0x1.81da180000000p+2	0x1.4823800000000p+2	0x1.c2c5e60000000p+10
90	0x1.12f24e0000000p-3	0x1.523d180000000p+4	0x1.0fc7ee0000000p+4	0x1.9227740000000p+3	0x1.c2c5e60000000p+10
91	0x1.c26c500000000p-4	0x1.2d7a2e0000000p+2	0x1.e58e9c0000000p+1	0x1.60a1980000000p+1	0x1.c2c5e60000000p+10
92	0x1.cce1960000000p-4	0x1.34f3d60000000p+2	0x1.e4e5dc0000000p+1	0x1.7917be0000000p+1	0x1.c2c5e60000000p+10
93	0x1.cae4ba0000000p-4	0x1.6aa73e0000000p+2	0x1.0e83520000000p+2	0x1.dcf6060000000p+1	0x1.c2c5e40000000p+10
94	0x1.36fc060000000p-3	0x1.14dd840000000p+3	0x1.afff3c0000000p+2	0x1.50d3780000000p+2	0x1.c2c5e40000000p+10
95	0x1.cb03540000000p-4	0x1.b708c40000000p+1	0x1.5f7a880000000p+1	0x1.fd47c40000000p+0	0x1.c2c5e60000000p+10
96	0x1.0898680000000p-3	0x1.12f8ec0000000p+6	0x1.a2cdc40000000p+5	0x1.645d960000000p+5	0x1.c2c5e60000000p+10
97	0x1.deb8460000000p-4	0x1.2c339e0000000p+4	0x1.c781320000000p+3	0x1.8682100000000p+3	0x1.c2c5e60000000p+10
98	0x1.bc8d100000000p-4	0x1.4e91120000000p+1	0x1.0aadc40000000p+1	0x1.819fe00000000p+0	0x1.c2c5e60000000p+10
99	0x1.9e4c340000000p-4	0x1.4c1bd60000000p+1	0x1.17a83c0000000p+1	0x1.4bfc3a0000000p+0	0x1.c2c5e60000000p+10
100	0x1.0a22000000000p-3	0x1.1850420000000p+3	0x1.b208140000000p+2	0x1.5c84c20000000p+2	0x1.c2c5e60000000p+10
101	0x1.5aab100000000p-4	0x1.ccc2d80000000p+1	0x1.6140d20000000p+1	0x1.20fd300000000p+1	0x1.c2c5e60000000p+10
102	0x1.538a0e0000000p-4	0x1.7c499a0000000p+0	0x1.3b1dbe0000000p+0	0x1.77db620000000p-1	0x1.c2c5e60000000p+10
103	0x1.d97d1a0000000p-4	0x1.81ec820000000p+3	0x1.2359fe0000000p+3	0x1.f7b9e20000000p+2	0x1.c2c5e60000000p+10
104	0x1.eea6b40000000p-4	0x1.3752180000000p+2	0x1.d5b0aa0000000p+1	0x1.7b88f40000000p+1	0x1.c2c5e60000000p+10
105	0x1.5f53ce0000000p-4	0x1.f6cf4a0000000p+3	0x1.7eac420000000p+3	0x1.451d580000000p+3	0x1.c2c5e60000000p+10
106	0x1.eb6bb40000000p-4	0x1.414cda0000000p+2	0x1.04788c0000000p+2	0x1.6e39460000000p+1	0x1.c2c5e60000000p+10
107	0x1.fa92fe0000000p-3	0x1.bd317e0000000p+3	0x1.532d240000000p+3	0x1.1b9cdc0000000p+3	0x1.c2c5e60000000p+10
108	0x1.94c4a60000000p-4	0x1.bfe0240000000p+1	0x1.5cbc860000000p+1	0x1.0f9e800000000p+1	0x1.c2c5e60000000p+10
109	0x1.e8f4600000000p-4	0x1.30e8ba0000000p+4	0x1.c361f80000000p+3	0x1.9903d00000000p+3	0x1.c2c5e60000000p+10
110	0x1.1442b20000000p-4	0x1.42b3b80000000p+1	0x1.086b220000000p+1	0x1.5b22ac0000000p+0	0x1.c2c5e60000000p+10
111	0x1.489b380000000p-3	0x1.3380900000000p+2	0x1.f556020000000p+1	0x1.4ad7140000000p+1	0x1.c2c5e60000000p+10
112	0x1.351a7e0000000p-4	0x1.80908e0000000p+2	0x1.21d3700000000p+2	0x1.f5db9c0000000p+1	0x1.c2c5e60000000p+10
113	0x1.5e974c0000000p-3	0x1.f7a2180000000p+1	0x1.a29ff80000000p+1	0x1.07a23c0000000p+1	0x1.c2c5e60000000p+10
114	0x1.f73cca0000000p-4	0x1.01f3a60000000p+5	0x1.7a2ac80000000p+4	0x1.5ea1640000000p+4	0x1.c2c5e60000000p+10
115	0x1.a9825a0000000p-4	0x1.96f18a0000000p+1	0x1.481e3c0000000p+1	0x1.cd627c0000000p+0	0x1.c2c5e60000000p+10
116	0x1.b3fb2e0000000p-4	0x1.c413c40000000p+1	0x1.63cb2c0000000p+1	0x1.103afa0000000p+1	0x1.c2c5e60000000p+10
117	0x1.6828ac0000000p-4	0x1.36211c0000000p+5	0x1.df869e0000000p+4	0x1.890b520000000p+4	0x1.c2c5e60000000p+10
