step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
64	0x1.354c680000000p-3	0x1.6aa3ec0000000p+1	0x1.240aee0000000p+1	0x1.8efc1c0000000p+0	0x1.c2c5e40000000p+10
65	0x1.7c23860000000p-3	0x1.03ba200000000p+2	0x1.8eddaa0000000p+1	0x1.40a5120000000p+1	0x1.c2c5e40000000p+10
66	0x1.3a1f480000000p-3	0x1.28905c0000000p+3	0x1.cb3e240000000p+2	0x1.758c7c0000000p+2	0x1.c2c5e60000000p+10
67	0x1.1d55820000000p-3	0x1.0457cc0000000p+4	0x1.8888560000000p+3	0x1.551a560000000p+3	0x1.c2c5e40000000p+10
68	0x1.5246120000000p-3	0x1.0790720000000p+4	0x1.94d0de0000000p+3	0x1.50fd2a0000000p+3	0x1.c2c5e60000000p+10
69	0x1.14cc400000000p-3	0x1.73869a0000000p+2	0x1.1845ae0000000p+2	0x1.e2461e0000000p+1	0x1.c2c5e40000000p+10
70	0x1.3e77920000000p-3	0x1.cd95100000000p+2	0x1.60d5fc0000000p+2	0x1.27645c0000000p+2	0x1.c2c5e40000000p+10
71	0x1.3136140000000p-3	0x1.b8c77a0000000p+1	0x1.5d9ee40000000p+1	0x1.02769c0000000p+1	0x1.c2c5e40000000p+10
72	0x1.0c1b4c0000000p-3	0x1.027fde0000000p+1	0x1.a44dd80000000p+0	0x1.1290fa0000000p+0	0x1.c2c5e40000000p+10
73	0x1.6338000000000p-3	0x1.e6f9000000000p+3	0x1.6f8c6a0000000p+3	0x1.3ec1580000000p+3	0x1.c2c5e40000000p+10
74	0x1.122eb80000000p-3	0x1.5692ec0000000p+2	0x1.0a57140000000p+2	0x1.a4a6dc0000000p+1	0x1.c2c5e40000000p+10
75	0x1.22aebe0000000p-3	0x1.b759600000000p+4	0x1.4db1160000000p+4	0x1.1db2ba0000000p+4	0x1.c2c5e40000000p+10
76	0x1.2639260000000p-3	0x1.67e49a0000000p+2	0x1.14e82c0000000p+2	0x1.c6e69e0000000p+1	0x1.c2c5e40000000p+10
77	0x1.117ed80000000p-3	0x1.9ef3320000000p+3	0x1.3e19e60000000p+3	0x1.0a10320000000p+3	0x1.c2c5e40000000p+10
78	0x1.048ff80000000p-3	0x1.1587ee0000000p+4	0x1.a7127e0000000p+3	0x1.66d44c0000000p+3	0x1.c2c5e40000000p+10
79	0x1.0de1920000000p-3	0x1.574c8a0000000p+2	0x1.1adf4e0000000p+2	0x1.75182a0000000p+1	0x1.c2c5e40000000p+10
80	0x1.0d9bec0000000p-3	0x1.9129a60000000p+1	0x1.3a5faa0000000p+1	0x1.e6cd980000000p+0	0x1.c2c5e40000000p+10
