step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
67	0x1.ad2a3a0000000p-3	0x1.3064200000000p+5	0x1.bd3eb00000000p+4	0x1.9ebb100000000p+4	0x1.c2dda40000000p+10
68	0x1.e46a4a0000000p-3	0x1.a5e8980000000p+3	0x1.4f41600000000p+3	0x1.fb67900000000p+2	0x1.c2dda40000000p+10
69	0x1.cf253a0000000p-3	0x1.7dd9400000000p+4	0x1.1c034e0000000p+4	0x1.f967e20000000p+3	0x1.c2dda40000000p+10
70	0x1.fff3e00000000p-3	0x1.15a7ac0000000p+3	0x1.78e4f80000000p+2	0x1.90138c0000000p+2	0x1.c2dda40000000p+10
71	0x1.0d91000000000p-2	0x1.f8e8720000000p+5	0x1.78419a0000000p+5	0x1.5087e00000000p+5	0x1.c2dda40000000p+10
72	0x1.d9563a0000000p-3	0x1.e532120000000p+4	0x1.4fc5020000000p+4	0x1.5d55720000000p+4	0x1.c2dda40000000p+10
73	0x1.6fa2b60000000p-3	0x1.f546020000000p+2	0x1.71dd880000000p+2	0x1.4dd9b40000000p+2	0x1.c2dda60000000p+10
74	0x1.505e0c0000000p-2	0x1.9e52800000000p+4	0x1.37782e0000000p+4	0x1.0eb4180000000p+4	0x1.c2dda60000000p+10
75	0x1.2c7ece0000000p-2	0x1.f33bfe0000000p+3	0x1.71a5360000000p+3	0x1.4bf99c0000000p+3	0x1.c2dda60000000p+10
76	0x1.14659e0000000p-2	0x1.6728ee0000000p+4	0x1.03a8140000000p+4	0x1.eee6300000000p+3	0x1.c2dda60000000p+10
77	0x1.2bb5520000000p-2	0x1.debfbe0000000p+5	0x1.875d3a0000000p+5	0x1.0b3be00000000p+5	0x1.c2dda60000000p+10
78	0x1.6a35400000000p-3	0x1.2cf7040000000p+3	0x1.72abf40000000p+2	0x1.d6d4f40000000p+2	0x1.c2dda60000000p+10
79	0x1.552d280000000p-3	0x1.5b05180000000p+2	0x1.00a9560000000p+2	0x1.c245640000000p+1	0x1.c2dda60000000p+10
80	0x1.8c38660000000p-3	0x1.dfafdc0000000p+2	0x1.4ee3b80000000p+2	0x1.4eafca0000000p+2	0x1.c2dda60000000p+10
81	0x1.6eab640000000p-3	0x1.6f381e0000000p+4	0x1.c2a4d00000000p+3	0x1.21a2be0000000p+4	0x1.c2dda60000000p+10
82	0x1.69f5140000000p-3	0x1.292ed20000000p+5	0x1.ba0b720000000p+4	0x1.8cfd4e0000000p+4	0x1.c2dda60000000p+10
83	0x1.be0c260000000p-3	0x1.88b48a0000000p+5	0x1.2022ae0000000p+5	0x1.0aac560000000p+5	0x1.c2dda60000000p+10
84	0x1.88ab7a0000000p-3	0x1.01929e0000000p+5	0x1.8f2bb00000000p+4	0x1.45218c0000000p+4	0x1.c2dda60000000p+10
85	0x1.b2feba0000000p-3	0x1.5093500000000p+3	0x1.ecc3160000000p+2	0x1.c5ae8c0000000p+2	0x1.c2dda60000000p+10
86	0x1.8df97a0000000p-3	0x1.3b04500000000p+3	0x1.d04bfe0000000p+2	0x1.a3a2f20000000p+2	0x1.c2dda60000000p+10
87	0x1.8cc64a0000000p-3	0x1.a6b5bc0000000p+5	0x1.2e6b680000000p+5	0x1.273e340000000p+5	0x1.c2dda60000000p+10
88	0x1.6303ce0000000p-3	0x1.95bad00000000p+3	0x1.2348b00000000p+3	0x1.1960cc0000000p+3	0x1.c2dda60000000p+10
89	0x1.66121a0000000p-3	0x1.2e3a9e0000000p+6	0x1.b59a640000000p+5	0x1.a0ea380000000p+5	0x1.c2dda60000000p+10
90	0x1.3c5cce0000000p-3	0x1.85a7d80000000p+3	0x1.14336c0000000p+3	0x1.1215ac0000000p+3	0x1.c2dda60000000p+10
91	0x1.308ca20000000p-3	0x1.1301c00000000p+2	0x1.93ca080000000p+1	0x1.6d2e320000000p+1	0x1.c2dda60000000p+10
92	0x1.353bd40000000p-3	0x1.ecdf3c0000000p+3	0x1.7381aa0000000p+3	0x1.4215aa0000000p+3	0x1.c2dda60000000p+10
93	0x1.94d8160000000p-3	0x1.f043ec0000000p+3	0x1.3e344a0000000p+3	0x1.7b7cf60000000p+3	0x1.c2dda60000000p+10
94	0x1.aed5400000000p-3	0x1.440b980000000p+3	0x1.ed10c80000000p+2	0x1.95f8720000000p+2	0x1.c2dda60000000p+10
95	0x1.9c62900000000p-3	0x1.0bb7980000000p+4	0x1.8480f20000000p+3	0x1.6f867a0000000p+3	0x1.c2dda60000000p+10
96	0x1.0d2a240000000p-3	0x1.17f6160000000p+2	0x1.ac1c140000000p+1	0x1.5a66100000000p+1	0x1.c2dda60000000p+10
