step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
69	0x1.d87e640000000p-3	0x1.45c0820000000p+7	0x1.f22f0c0000000p+6	0x1.a3cad20000000p+6	0x1.c2c5e20000000p+10
70	0x1.1c51f20000000p-2	0x1.04a4be0000000p+7	0x1.8e211a0000000p+6	0x1.5067880000000p+6	0x1.c2c5e20000000p+10
71	0x1.12fb8e0000000p-3	0x1.258c360000000p+3	0x1.bce11c0000000p+2	0x1.7c34600000000p+2	0x1.c2c5e20000000p+10
72	0x1.114eda0000000p-3	0x1.0b7c500000000p+3	0x1.90a3be0000000p+2	0x1.5f454e0000000p+2	0x1.c2c5e20000000p+10
73	0x1.db9d0a0000000p-4	0x1.9cbecc0000000p+1	0x1.53c90c0000000p+1	0x1.b8b3aa0000000p+0	0x1.c2c5e20000000p+10
74	0x1.2b02140000000p-2	0x1.ad37ba0000000p+4	0x1.5fa3e80000000p+4	0x1.e705160000000p+3	0x1.c2c5e20000000p+10
75	0x1.c2c90e0000000p-3	0x1.12bf900000000p+4	0x1.99d1c60000000p+3	0x1.6b81640000000p+3	0x1.c2c5e20000000p+10
76	0x1.87d6040000000p-3	0x1.42409a0000000p+2	0x1.f158580000000p+1	0x1.5f0e620000000p+1	0x1.c2c5e20000000p+10
77	0x1.a775900000000p-3	0x1.47cf080000000p+5	0x1.0d7c3e0000000p+5	0x1.6724740000000p+4	0x1.c2c5e40000000p+10
78	0x1.ce5b6a0000000p-4	0x1.2bdfc00000000p+1	0x1.daaf560000000p+0	0x1.47d6940000000p+0	0x1.c2c5e60000000p+10
79	0x1.02e7be0000000p-3	0x1.238dfa0000000p+2	0x1.bf09d80000000p+1	0x1.6aa3c00000000p+1	0x1.c2c5e60000000p+10
80	0x1.3768b00000000p-3	0x1.25951e0000000p+3	0x1.c19e160000000p+2	0x1.70c7ce0000000p+2	0x1.c2c5e60000000p+10
81	0x1.0091c60000000p-3	0x1.2e58980000000p+2	0x1.c65dee0000000p+1	0x1.8704520000000p+1	0x1.c2c5e60000000p+10
82	0x1.e26aa00000000p-4	0x1.68c6dc0000000p+2	0x1.1ab1a60000000p+2	0x1.b9b0340000000p+1	0x1.c2c5e60000000p+10
83	0x1.4b2cb40000000p-3	0x1.0bcc160000000p+5	0x1.8879780000000p+4	0x1.6c3ce80000000p+4	0x1.c2c5e40000000p+10
84	0x1.b51b800000000p-4	0x1.44c4da0000000p+1	0x1.047fc80000000p+1	0x1.513c780000000p+0	0x1.c2c5e60000000p+10
85	0x1.f22b1a0000000p-4	0x1.5500820000000p+2	0x1.fcdf660000000p+1	0x1.c00f640000000p+1	0x1.c2c5e60000000p+10
86	0x1.3c51fe0000000p-3	0x1.066bb80000000p+2	0x1.ac38180000000p+1	0x1.1787220000000p+1	0x1.c2c5e60000000p+10
87	0x1.05b6700000000p-3	0x1.44d3b00000000p+1	0x1.08b8e60000000p+1	0x1.58817a0000000p+0	0x1.c2c5e60000000p+10
88	0x1.0f1e960000000p-3	0x1.7178e40000000p+1	0x1.3024be0000000p+1	0x1.8794940000000p+0	0x1.c2c5e60000000p+10
89	0x1.bb36aa0000000p-4	0x1.bbc1fc0000000p+2	0x1.507c120000000p+2	0x1.1f2acc0000000p+2	0x1.c2c5e60000000p+10
90	0x1.1330ce0000000p-3	0x1.1a20920000000p+1	0x1.cac9a80000000p+0	0x1.31ed7c0000000p+0	0x1.c2c5e60000000p+10
91	0x1.b839600000000p-4	0x1.3cf5760000000p+1	0x1.f426240000000p+0	0x1.744fa00000000p+0	0x1.c2c5e60000000p+10
92	0x1.e3630e0000000p-4	0x1.43fb1c0000000p+3	0x1.efce560000000p+2	0x1.9dca300000000p+2	0x1.c2c5e60000000p+10
93	0x1.1b12080000000p-3	0x1.27b0780000000p+1	0x1.d01d200000000p+0	0x1.269bb20000000p+0	0x1.c2c5e60000000p+10
