2026/08/27 00:10:38.368, 0, 0 %, 0 %, 1017 MiB, 70.47 W
2026/08/27 00:10:38.368, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:38.873, 0, 0 %, 0 %, 1017 MiB, 70.47 W
2026/08/27 00:10:38.873, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:39.599, 0, 0 %, 0 %, 1017 MiB, 49.80 W
2026/08/27 00:10:39.599, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:40.877, 0, 0 %, 0 %, 1017 MiB, 61.01 W
2026/08/27 00:10:40.909, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:41.841, 0, 0 %, 0 %, 1017 MiB, 81.49 W
2026/08/27 00:10:41.842, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:42.717, 0, 0 %, 0 %, 1017 MiB, 75.79 W
2026/08/27 00:10:42.717, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:44.072, 0, 0 %, 0 %, 1017 MiB, 54.06 W
2026/08/27 00:10:44.176, 1, 0 %, 0 %, 9 MiB, 54.69 W
2026/08/27 00:10:45.057, 0, 0 %, 0 %, 1017 MiB, 54.06 W
2026/08/27 00:10:45.057, 1, 0 %, 0 %, 9 MiB, 54.69 W
2026/08/27 00:10:45.560, 0, 0 %, 0 %, 1017 MiB, 72.70 W
2026/08/27 00:10:45.560, 1, 0 %, 0 %, 9 MiB, 70.56 W
2026/08/27 00:10:46.085, 0, 0 %, 0 %, 1017 MiB, 80.79 W
2026/08/27 00:10:46.117, 1, 0 %, 0 %, 9 MiB, 76.30 W
2026/08/27 00:10:46.765, 0, 0 %, 0 %, 1017 MiB, 80.79 W
2026/08/27 00:10:46.766, 1, 0 %, 0 %, 9 MiB, 76.30 W
2026/08/27 00:10:47.276, 0, 0 %, 0 %, 1017 MiB, 62.01 W
2026/08/27 00:10:47.276, 1, 0 %, 0 %, 9 MiB, 63.17 W
2026/08/27 00:10:48.026, 0, 0 %, 0 %, 1017 MiB, 55.85 W
2026/08/27 00:10:48.027, 1, 0 %, 0 %, 9 MiB, 57.02 W
2026/08/27 00:10:48.541, 0, 0 %, 0 %, 1017 MiB, 55.85 W
2026/08/27 00:10:48.561, 1, 0 %, 0 %, 9 MiB, 57.02 W
2026/08/27 00:10:49.178, 0, 0 %, 0 %, 1017 MiB, 74.68 W
2026/08/27 00:10:49.178, 1, 0 %, 0 %, 9 MiB, 70.07 W
2026/08/27 00:10:49.687, 0, 0 %, 0 %, 1017 MiB, 74.68 W
2026/08/27 00:10:49.702, 1, 0 %, 0 %, 9 MiB, 70.07 W
2026/08/27 00:10:50.328, 0, 0 %, 0 %, 1017 MiB, 83.36 W
2026/08/27 00:10:50.329, 1, 0 %, 0 %, 9 MiB, 76.30 W
2026/08/27 00:10:50.833, 0, 0 %, 0 %, 1017 MiB, 83.36 W
2026/08/27 00:10:50.959, 1, 0 %, 0 %, 9 MiB, 76.30 W
2026/08/27 00:10:51.461, 0, 0 %, 0 %, 1017 MiB, 72.69 W
2026/08/27 00:10:51.461, 1, 0 %, 0 %, 9 MiB, 66.06 W
2026/08/27 00:10:52.031, 0, 0 %, 0 %, 1017 MiB, 54.71 W
2026/08/27 00:10:52.031, 1, 0 %, 0 %, 9 MiB, 56.61 W
2026/08/27 00:10:52.540, 0, 0 %, 0 %, 1017 MiB, 54.71 W
2026/08/27 00:10:52.569, 1, 0 %, 0 %, 9 MiB, 56.61 W
2026/08/27 00:10:53.187, 0, 0 %, 0 %, 1017 MiB, 63.18 W
2026/08/27 00:10:53.187, 1, 0 %, 0 %, 9 MiB, 64.42 W
2026/08/27 00:10:54.519, 0, 0 %, 0 %, 1017 MiB, 81.17 W
2026/08/27 00:10:54.520, 1, 0 %, 0 %, 9 MiB, 72.29 W
2026/08/27 00:10:55.159, 0, 0 %, 0 %, 1017 MiB, 70.81 W
2026/08/27 00:10:55.160, 1, 0 %, 0 %, 9 MiB, 66.23 W
2026/08/27 00:10:56.130, 0, 0 %, 0 %, 1017 MiB, 52.75 W
2026/08/27 00:10:56.191, 1, 0 %, 0 %, 9 MiB, 58.66 W
2026/08/27 00:10:57.086, 0, 0 %, 0 %, 1017 MiB, 63.90 W
2026/08/27 00:10:57.087, 1, 0 %, 0 %, 9 MiB, 67.53 W
2026/08/27 00:10:57.991, 0, 0 %, 0 %, 1017 MiB, 63.90 W
2026/08/27 00:10:58.533, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:00.317, 0, 0 %, 0 %, 1017 MiB, 56.41 W
2026/08/27 00:11:00.317, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:00.821, 0, 0 %, 0 %, 1017 MiB, 56.41 W
2026/08/27 00:11:00.821, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:01.333, 0, 0 %, 0 %, 1017 MiB, 66.69 W
2026/08/27 00:11:01.338, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:01.956, 0, 0 %, 0 %, 1017 MiB, 66.69 W
2026/08/27 00:11:01.956, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:02.459, 0, 0 %, 0 %, 1017 MiB, 81.29 W
2026/08/27 00:11:02.508, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:03.014, 0, 0 %, 0 %, 1017 MiB, 81.29 W
2026/08/27 00:11:03.340, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:03.840, 0, 0 %, 0 %, 1017 MiB, 72.78 W
2026/08/27 00:11:03.841, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:04.540, 0, 0 %, 0 %, 1017 MiB, 53.69 W
2026/08/27 00:11:04.590, 1, 0 %, 0 %, 9 MiB, 77.83 W
2026/08/27 00:11:05.398, 0, 0 %, 0 %, 1046 MiB, 59.85 W
2026/08/27 00:11:05.407, 1, 0 %, 0 %, 36 MiB, 77.83 W
2026/08/27 00:11:06.195, 0, 0 %, 0 %, 44644 MiB, 80.32 W
2026/08/27 00:11:06.269, 1, 0 %, 0 %, 440 MiB, 84.99 W
2026/08/27 00:11:06.902, 0, 0 %, 0 %, 44646 MiB, 85.32 W
2026/08/27 00:11:06.903, 1, 0 %, 0 %, 440 MiB, 89.41 W
2026/08/27 00:11:07.886, 0, 0 %, 0 %, 44646 MiB, 84.50 W
2026/08/27 00:11:07.949, 1, 0 %, 0 %, 440 MiB, 81.92 W
2026/08/27 00:11:08.646, 0, 0 %, 0 %, 44646 MiB, 85.68 W
2026/08/27 00:11:08.723, 1, 0 %, 0 %, 440 MiB, 81.92 W
2026/08/27 00:11:09.749, 0, 0 %, 0 %, 44646 MiB, 65.67 W
2026/08/27 00:11:09.750, 1, 0 %, 0 %, 440 MiB, 67.18 W
2026/08/27 00:11:11.027, 0, 0 %, 0 %, 44646 MiB, 64.66 W
2026/08/27 00:11:11.588, 1, 0 %, 0 %, 440 MiB, 67.75 W
2026/08/27 00:11:13.330, 0, 0 %, 0 %, 44646 MiB, 66.60 W
2026/08/27 00:11:13.374, 1, 0 %, 0 %, 440 MiB, 68.24 W
2026/08/27 00:11:15.382, 0, 0 %, 0 %, 44646 MiB, 83.82 W
2026/08/27 00:11:15.382, 1, 0 %, 0 %, 440 MiB, 77.28 W
2026/08/27 00:11:16.663, 0, 0 %, 0 %, 44646 MiB, 76.92 W
2026/08/27 00:11:17.109, 1, 0 %, 0 %, 440 MiB, 79.03 W
2026/08/27 00:11:17.686, 0, 0 %, 0 %, 44646 MiB, 75.74 W
2026/08/27 00:11:17.686, 1, 0 %, 0 %, 440 MiB, 79.03 W
2026/08/27 00:11:18.234, 0, 0 %, 0 %, 44646 MiB, 75.74 W
2026/08/27 00:11:18.330, 1, 0 %, 0 %, 440 MiB, 76.68 W
2026/08/27 00:11:18.947, 0, 0 %, 0 %, 44646 MiB, 83.29 W
2026/08/27 00:11:18.947, 1, 0 %, 0 %, 440 MiB, 83.56 W
2026/08/27 00:11:19.552, 0, 0 %, 0 %, 44646 MiB, 84.09 W
2026/08/27 00:11:19.552, 1, 0 %, 0 %, 440 MiB, 83.56 W
2026/08/27 00:11:20.101, 0, 0 %, 0 %, 44646 MiB, 84.09 W
2026/08/27 00:11:20.102, 1, 0 %, 0 %, 440 MiB, 76.02 W
2026/08/27 00:11:20.607, 0, 0 %, 0 %, 44646 MiB, 77.93 W
2026/08/27 00:11:20.637, 1, 0 %, 0 %, 440 MiB, 76.02 W
2026/08/27 00:11:21.263, 0, 0 %, 0 %, 44646 MiB, 77.93 W
2026/08/27 00:11:21.263, 1, 0 %, 0 %, 440 MiB, 68.80 W
2026/08/27 00:11:21.769, 0, 0 %, 0 %, 44646 MiB, 72.80 W
2026/08/27 00:11:21.785, 1, 0 %, 0 %, 440 MiB, 68.80 W
2026/08/27 00:11:22.407, 0, 0 %, 0 %, 44646 MiB, 77.82 W
2026/08/27 00:11:22.407, 1, 0 %, 0 %, 440 MiB, 69.86 W
2026/08/27 00:11:22.914, 0, 0 %, 0 %, 44646 MiB, 77.82 W
2026/08/27 00:11:22.922, 1, 0 %, 0 %, 440 MiB, 78.33 W
2026/08/27 00:11:23.536, 0, 0 %, 0 %, 44646 MiB, 83.37 W
2026/08/27 00:11:23.536, 1, 0 %, 0 %, 440 MiB, 78.33 W
2026/08/27 00:11:24.042, 0, 0 %, 0 %, 44646 MiB, 83.37 W
2026/08/27 00:11:24.087, 1, 0 %, 0 %, 440 MiB, 87.03 W
2026/08/27 00:11:24.729, 0, 0 %, 0 %, 44646 MiB, 79.81 W
2026/08/27 00:11:24.729, 1, 0 %, 0 %, 440 MiB, 87.03 W
2026/08/27 00:11:25.588, 0, 0 %, 0 %, 44646 MiB, 64.15 W
2026/08/27 00:11:25.588, 1, 0 %, 0 %, 440 MiB, 71.63 W
2026/08/27 00:11:26.705, 0, 0 %, 0 %, 44646 MiB, 55.51 W
2026/08/27 00:11:26.927, 1, 0 %, 0 %, 440 MiB, 65.72 W
2026/08/27 00:11:27.844, 0, 0 %, 0 %, 44646 MiB, 70.32 W
2026/08/27 00:11:27.844, 1, 0 %, 0 %, 440 MiB, 65.72 W
2026/08/27 00:11:29.997, 0, 0 %, 0 %, 44646 MiB, 70.30 W
2026/08/27 00:11:29.998, 1, 0 %, 0 %, 440 MiB, 70.72 W
2026/08/27 00:11:30.504, 0, 0 %, 0 %, 44646 MiB, 55.07 W
2026/08/27 00:11:30.576, 1, 0 %, 0 %, 440 MiB, 59.38 W
2026/08/27 00:11:31.201, 0, 0 %, 0 %, 44646 MiB, 55.07 W
2026/08/27 00:11:31.201, 1, 0 %, 0 %, 440 MiB, 61.31 W
2026/08/27 00:11:31.710, 0, 0 %, 0 %, 44646 MiB, 63.93 W
2026/08/27 00:11:31.713, 1, 0 %, 0 %, 440 MiB, 61.31 W
2026/08/27 00:11:32.336, 0, 0 %, 0 %, 44646 MiB, 79.08 W
2026/08/27 00:11:32.338, 1, 0 %, 0 %, 440 MiB, 69.72 W
2026/08/27 00:11:32.846, 0, 0 %, 0 %, 44646 MiB, 79.08 W
2026/08/27 00:11:32.930, 1, 0 %, 0 %, 440 MiB, 69.72 W
2026/08/27 00:11:33.574, 0, 0 %, 0 %, 44646 MiB, 73.98 W
2026/08/27 00:11:33.574, 1, 0 %, 0 %, 440 MiB, 68.43 W
2026/08/27 00:11:34.496, 0, 0 %, 0 %, 44646 MiB, 57.37 W
2026/08/27 00:11:34.572, 1, 0 %, 0 %, 440 MiB, 61.70 W
2026/08/27 00:11:35.191, 0, 0 %, 0 %, 44646 MiB, 57.37 W
2026/08/27 00:11:35.698, 1, 0 %, 0 %, 440 MiB, 62.76 W
2026/08/27 00:11:36.526, 0, 0 %, 0 %, 44646 MiB, 81.82 W
2026/08/27 00:11:36.526, 1, 0 %, 0 %, 440 MiB, 71.17 W
2026/08/27 00:11:37.537, 0, 0 %, 0 %, 44646 MiB, 75.45 W
2026/08/27 00:11:37.537, 1, 0 %, 0 %, 440 MiB, 73.32 W
2026/08/27 00:11:38.468, 0, 0 %, 0 %, 44646 MiB, 42.73 W
2026/08/27 00:11:38.574, 1, 0 %, 0 %, 440 MiB, 61.31 W
2026/08/27 00:11:39.195, 0, 0 %, 0 %, 44646 MiB, 55.00 W
2026/08/27 00:11:39.197, 1, 0 %, 0 %, 440 MiB, 59.25 W
2026/08/27 00:11:39.703, 0, 0 %, 0 %, 44646 MiB, 61.23 W
2026/08/27 00:11:39.716, 1, 0 %, 0 %, 440 MiB, 59.25 W
2026/08/27 00:11:40.340, 0, 0 %, 0 %, 44646 MiB, 81.69 W
2026/08/27 00:11:40.340, 1, 0 %, 0 %, 440 MiB, 71.23 W
2026/08/27 00:11:40.845, 0, 0 %, 0 %, 44646 MiB, 81.69 W
2026/08/27 00:11:40.909, 1, 0 %, 0 %, 440 MiB, 71.23 W
2026/08/27 00:11:41.551, 0, 0 %, 0 %, 44646 MiB, 75.42 W
2026/08/27 00:11:41.552, 1, 0 %, 0 %, 440 MiB, 73.36 W
2026/08/27 00:11:42.061, 0, 0 %, 0 %, 44646 MiB, 75.42 W
2026/08/27 00:11:42.061, 1, 0 %, 0 %, 440 MiB, 61.48 W
2026/08/27 00:11:42.567, 0, 0 %, 0 %, 44646 MiB, 56.70 W
2026/08/27 00:11:42.574, 1, 0 %, 0 %, 440 MiB, 61.48 W
2026/08/27 00:11:43.192, 0, 0 %, 0 %, 44646 MiB, 56.70 W
2026/08/27 00:11:43.469, 1, 0 %, 0 %, 440 MiB, 61.06 W
2026/08/27 00:11:44.263, 0, 0 %, 0 %, 44646 MiB, 80.06 W
2026/08/27 00:11:44.263, 1, 0 %, 0 %, 440 MiB, 73.35 W
2026/08/27 00:11:45.848, 0, 0 %, 0 %, 44646 MiB, 73.60 W
2026/08/27 00:11:45.848, 1, 0 %, 0 %, 440 MiB, 71.04 W
2026/08/27 00:11:46.592, 0, 0 %, 0 %, 44646 MiB, 57.10 W
2026/08/27 00:11:46.594, 1, 0 %, 0 %, 440 MiB, 62.26 W
2026/08/27 00:11:47.190, 0, 0 %, 0 %, 44646 MiB, 57.10 W
2026/08/27 00:11:47.192, 1, 0 %, 0 %, 440 MiB, 62.48 W
2026/08/27 00:11:47.696, 0, 0 %, 0 %, 44646 MiB, 65.02 W
2026/08/27 00:11:47.710, 1, 0 %, 0 %, 440 MiB, 62.48 W
2026/08/27 00:11:48.334, 0, 0 %, 0 %, 44646 MiB, 81.67 W
2026/08/27 00:11:48.334, 1, 0 %, 0 %, 440 MiB, 70.00 W
2026/08/27 00:11:48.836, 0, 0 %, 0 %, 44646 MiB, 81.67 W
2026/08/27 00:11:48.905, 1, 0 %, 0 %, 440 MiB, 70.00 W
2026/08/27 00:11:49.548, 0, 0 %, 0 %, 44646 MiB, 75.41 W
2026/08/27 00:11:49.549, 1, 0 %, 0 %, 440 MiB, 71.84 W
2026/08/27 00:11:50.055, 0, 0 %, 0 %, 44646 MiB, 75.41 W
2026/08/27 00:11:50.055, 1, 0 %, 0 %, 440 MiB, 60.98 W
2026/08/27 00:11:50.560, 0, 0 %, 0 %, 44646 MiB, 56.74 W
2026/08/27 00:11:50.568, 1, 0 %, 0 %, 440 MiB, 60.98 W
2026/08/27 00:11:51.189, 0, 0 %, 0 %, 44646 MiB, 56.74 W
2026/08/27 00:11:51.191, 1, 0 %, 0 %, 440 MiB, 60.08 W
2026/08/27 00:11:51.695, 0, 0 %, 0 %, 44646 MiB, 62.95 W
2026/08/27 00:11:51.709, 1, 0 %, 0 %, 440 MiB, 60.08 W
2026/08/27 00:11:52.334, 0, 0 %, 0 %, 44646 MiB, 81.69 W
2026/08/27 00:11:52.334, 1, 0 %, 0 %, 440 MiB, 72.41 W
2026/08/27 00:11:52.840, 0, 0 %, 0 %, 44646 MiB, 81.69 W
2026/08/27 00:11:52.887, 1, 0 %, 0 %, 440 MiB, 72.41 W
2026/08/27 00:11:53.522, 0, 0 %, 0 %, 44646 MiB, 75.36 W
2026/08/27 00:11:53.523, 1, 0 %, 0 %, 440 MiB, 76.48 W
2026/08/27 00:11:54.027, 0, 0 %, 0 %, 44646 MiB, 75.36 W
2026/08/27 00:11:54.028, 1, 0 %, 0 %, 440 MiB, 65.57 W
2026/08/27 00:11:54.545, 0, 0 %, 0 %, 44646 MiB, 54.46 W
2026/08/27 00:11:54.580, 1, 0 %, 0 %, 440 MiB, 65.57 W
2026/08/27 00:11:55.202, 0, 0 %, 0 %, 44646 MiB, 54.46 W
2026/08/27 00:11:55.202, 1, 0 %, 0 %, 440 MiB, 59.30 W
