step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
61	0x1.97c19a0000000p-5	0x1.d2ba800000000p-3	0x1.c7bc1e0000000p-3	0x1.2d29560000000p-6	0x1.c5e2f40000000p+10
62	0x1.5eb79e0000000p-5	0x1.039e8e0000000p-2	0x1.fb67580000000p-3	0x1.4585060000000p-6	0x1.c5e2f40000000p+10
63	0x1.2d98460000000p-5	0x1.bd9edc0000000p-3	0x1.b522b60000000p-3	0x1.06d65c0000000p-6	0x1.c5e2f40000000p+10
64	0x1.4f82ae0000000p-5	0x1.c300fe0000000p-3	0x1.b93b640000000p-3	0x1.16d3e20000000p-6	0x1.c5e2f40000000p+10
65	0x1.7d9d640000000p-5	0x1.3ca6360000000p-2	0x1.36fa820000000p-2	0x1.ae11d60000000p-6	0x1.c5e2f40000000p+10
66	0x1.5dc6a40000000p-5	0x1.ac26520000000p-3	0x1.a31c4a0000000p-3	0x1.0d10be0000000p-6	0x1.c5e2f40000000p+10
67	0x1.69281e0000000p-5	0x1.d970dc0000000p-3	0x1.ce7c1c0000000p-3	0x1.334d080000000p-6	0x1.c5e2f40000000p+10
68	0x1.58ad260000000p-5	0x1.37b3a80000000p-2	0x1.3385340000000p-2	0x1.99f4f00000000p-6	0x1.c5e2f40000000p+10
69	0x1.5ddfd60000000p-5	0x1.a959200000000p-3	0x1.9f99360000000p-3	0x1.0a16700000000p-6	0x1.c5e2f40000000p+10
70	0x1.3f05860000000p-5	0x1.846ce80000000p-3	0x1.7baf980000000p-3	0x1.d5c6fa0000000p-7	0x1.c5e2f40000000p+10
71	0x1.4a20b60000000p-5	0x1.b4aac60000000p-3	0x1.ab82e40000000p-3	0x1.1380f00000000p-6	0x1.c5e2f40000000p+10
72	0x1.45d0fe0000000p-5	0x1.9e7cfa0000000p-3	0x1.9482220000000p-3	0x1.0fe3b20000000p-6	0x1.c5e2f40000000p+10
73	0x1.64e8000000000p-5	0x1.0a569c0000000p-2	0x1.05e2500000000p-2	0x1.6c773c0000000p-6	0x1.c5e2f40000000p+10
74	0x1.2543560000000p-5	0x1.55494c0000000p-3	0x1.4debc00000000p-3	0x1.85f4880000000p-7	0x1.c5e2f40000000p+10
75	0x1.3173fa0000000p-5	0x1.8a97940000000p-3	0x1.81a9b60000000p-3	0x1.bb419a0000000p-7	0x1.c5e2f40000000p+10
76	0x1.293cac0000000p-5	0x1.acdd120000000p-3	0x1.a32d900000000p-3	0x1.0ac1100000000p-6	0x1.c5e2f40000000p+10
77	0x1.439cf00000000p-5	0x1.a872ae0000000p-3	0x1.a0dcb60000000p-3	0x1.131da40000000p-6	0x1.c5e2f40000000p+10
78	0x1.62e06a0000000p-5	0x1.e285e00000000p-3	0x1.da2b220000000p-3	0x1.2047bc0000000p-6	0x1.c5e2f40000000p+10
79	0x1.4384360000000p-5	0x1.4ffa540000000p-3	0x1.45c9ca0000000p-3	0x1.88a8ae0000000p-7	0x1.c5e2f40000000p+10
80	0x1.89d3140000000p-5	0x1.d308de0000000p-3	0x1.c89cb00000000p-3	0x1.24c9fa0000000p-6	0x1.c5e2f40000000p+10
81	0x1.3fdf620000000p-5	0x1.a8fdae0000000p-3	0x1.9faf6c0000000p-3	0x1.04e1a40000000p-6	0x1.c5e2f40000000p+10
82	0x1.339b6c0000000p-5	0x1.40086a0000000p-3	0x1.37d10e0000000p-3	0x1.9a19e40000000p-7	0x1.c5e2f40000000p+10
83	0x1.3c28600000000p-5	0x1.4755aa0000000p-3	0x1.3f7fe60000000p-3	0x1.79a13e0000000p-7	0x1.c5e2f40000000p+10
84	0x1.6251e60000000p-5	0x1.81023c0000000p-3	0x1.77e4a80000000p-3	0x1.f7d6440000000p-7	0x1.c5e2f40000000p+10
85	0x1.51e9c60000000p-5	0x1.6bc61c0000000p-3	0x1.62772a0000000p-3	0x1.a6d3920000000p-7	0x1.c5e2f40000000p+10
86	0x1.12b0660000000p-5	0x1.0ba4240000000p-3	0x1.03d8d20000000p-3	0x1.339fc60000000p-7	0x1.c5e2f40000000p+10
87	0x1.3235560000000p-5	0x1.6641b20000000p-3	0x1.5f41480000000p-3	0x1.b0dcf20000000p-7	0x1.c5e2f40000000p+10
88	0x1.4609800000000p-5	0x1.8e444e0000000p-3	0x1.87b3d60000000p-3	0x1.e155ec0000000p-7	0x1.c5e2f40000000p+10
89	0x1.293ad00000000p-5	0x1.52c5440000000p-3	0x1.4acc500000000p-3	0x1.7e4cbe0000000p-7	0x1.c5e2f60000000p+10
90	0x1.4b55fe0000000p-5	0x1.5c04540000000p-3	0x1.5378bc0000000p-3	0x1.8dd4ce0000000p-7	0x1.c5e2f60000000p+10
91	0x1.31cbe40000000p-5	0x1.7377ac0000000p-3	0x1.6b48b00000000p-3	0x1.dcd1360000000p-7	0x1.c5e2f60000000p+10
92	0x1.61bd8e0000000p-5	0x1.ac453a0000000p-3	0x1.a350800000000p-3	0x1.e5c05c0000000p-7	0x1.c5e2f40000000p+10
93	0x1.3de7380000000p-5	0x1.58a0b40000000p-3	0x1.5177100000000p-3	0x1.7719ca0000000p-7	0x1.c5e2f60000000p+10
94	0x1.369d200000000p-5	0x1.5f0ec40000000p-3	0x1.56ed200000000p-3	0x1.a625980000000p-7	0x1.c5e2f60000000p+10
95	0x1.1d2e260000000p-5	0x1.558ef20000000p-3	0x1.4ef01e0000000p-3	0x1.678a700000000p-7	0x1.c5e2f60000000p+10
96	0x1.256f8e0000000p-5	0x1.5c418c0000000p-3	0x1.5174200000000p-3	0x1.8a33900000000p-7	0x1.c5e2f60000000p+10
97	0x1.ebfcb60000000p-6	0x1.2affe40000000p-3	0x1.2424e00000000p-3	0x1.44f9840000000p-7	0x1.c5e2f60000000p+10
98	0x1.1545400000000p-5	0x1.4bd0c60000000p-3	0x1.4451720000000p-3	0x1.835da60000000p-7	0x1.c5e2f60000000p+10
99	0x1.3c64360000000p-5	0x1.c643480000000p-3	0x1.be43d60000000p-3	0x1.1076b20000000p-6	0x1.c5e2f60000000p+10
