step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
60	0x1.6e81140000000p-3	0x1.dae9140000000p+2	0x1.59990e0000000p+2	0x1.3ecc7a0000000p+2	0x1.c2dda40000000p+10
61	0x1.2eff0e0000000p-3	0x1.5249480000000p+2	0x1.f43c260000000p+1	0x1.bb633e0000000p+1	0x1.c2dda40000000p+10
62	0x1.5c24e60000000p-3	0x1.4d30600000000p+2	0x1.de04800000000p+1	0x1.c507580000000p+1	0x1.c2dda40000000p+10
63	0x1.2bcd3a0000000p-2	0x1.1224f20000000p+4	0x1.9046120000000p+3	0x1.73bf2c0000000p+3	0x1.c2dda40000000p+10
64	0x1.6a5be60000000p-3	0x1.40565c0000000p+6	0x1.e7ae160000000p+5	0x1.9f67e60000000p+5	0x1.c2dda40000000p+10
65	0x1.5298980000000p-2	0x1.dd4eb20000000p+3	0x1.65da920000000p+3	0x1.343c240000000p+3	0x1.c2dda40000000p+10
66	0x1.cfab3a0000000p-3	0x1.bdeb140000000p+3	0x1.3fd6320000000p+3	0x1.340d2e0000000p+3	0x1.c2dda40000000p+10
67	0x1.a2af2e0000000p-3	0x1.d1b1840000000p+3	0x1.576ebc0000000p+3	0x1.389c820000000p+3	0x1.c2dda40000000p+10
68	0x1.e1668e0000000p-3	0x1.4a6ea40000000p+4	0x1.095caa0000000p+4	0x1.8875f40000000p+3	0x1.c2dda40000000p+10
69	0x1.b4fefe0000000p-3	0x1.062eb40000000p+5	0x1.6ba6400000000p+4	0x1.788f6c0000000p+4	0x1.c2dda40000000p+10
70	0x1.10b0740000000p-2	0x1.2b38aa0000000p+4	0x1.6f1e500000000p+3	0x1.d6d85e0000000p+3	0x1.c2dda40000000p+10
71	0x1.b90aba0000000p-3	0x1.16828c0000000p+5	0x1.89f53a0000000p+4	0x1.8924020000000p+4	0x1.c2dda40000000p+10
72	0x1.037e200000000p-2	0x1.f2b78a0000000p+6	0x1.5eed8e0000000p+6	0x1.622c980000000p+6	0x1.c2dda40000000p+10
73	0x1.7f5e160000000p-3	0x1.79c6840000000p+4	0x1.17dc9c0000000p+4	0x1.fac30a0000000p+3	0x1.c2dda40000000p+10
74	0x1.db1f100000000p-3	0x1.1d6ede0000000p+4	0x1.95c6140000000p+3	0x1.8f6a5e0000000p+3	0x1.c2dda40000000p+10
75	0x1.4316480000000p-2	0x1.5813e40000000p+4	0x1.fa574a0000000p+3	0x1.d103880000000p+3	0x1.c2dda40000000p+10
76	0x1.21132a0000000p-2	0x1.23ea1c0000000p+6	0x1.b036840000000p+5	0x1.88518a0000000p+5	0x1.c2dda40000000p+10
77	0x1.0db0ce0000000p-3	0x1.81b20e0000000p+3	0x1.16ccb60000000p+3	0x1.0881980000000p+3	0x1.c2dda40000000p+10
78	0x1.409e100000000p-3	0x1.3b6fce0000000p+3	0x1.a2dbda0000000p+2	0x1.d4af0c0000000p+2	0x1.c2dda40000000p+10
79	0x1.4924f00000000p-3	0x1.39687e0000000p+3	0x1.d54e700000000p+2	0x1.9b34e60000000p+2	0x1.c2dda40000000p+10
80	0x1.84573c0000000p-3	0x1.91d00c0000000p+2	0x1.27ea460000000p+2	0x1.f9851c0000000p+1	0x1.c2dda40000000p+10
81	0x1.a1fd600000000p-3	0x1.e0292a0000000p+6	0x1.65b8f80000000p+6	0x1.4047600000000p+6	0x1.c2dda40000000p+10
82	0x1.38a7f00000000p-3	0x1.01f1b60000000p+3	0x1.8e66720000000p+2	0x1.44428e0000000p+2	0x1.c2dda40000000p+10
83	0x1.62053e0000000p-3	0x1.5b21ca0000000p+3	0x1.f989560000000p+2	0x1.d9aa140000000p+2	0x1.c2dda40000000p+10
84	0x1.3810ae0000000p-3	0x1.17c7520000000p+6	0x1.74ac760000000p+5	0x1.a147fa0000000p+5	0x1.c2dda40000000p+10
85	0x1.bbf4940000000p-3	0x1.2aca9c0000000p+4	0x1.a667820000000p+3	0x1.a5c6240000000p+3	0x1.c2dda40000000p+10
86	0x1.c4a5ce0000000p-3	0x1.5d7bfc0000000p+5	0x1.fbb5680000000p+4	0x1.dfd7a80000000p+4	0x1.c2dda60000000p+10
87	0x1.a548140000000p-3	0x1.1ec7ea0000000p+5	0x1.99fcb00000000p+4	0x1.90f1080000000p+4	0x1.c2dda60000000p+10
88	0x1.2d872e0000000p-3	0x1.7acb8e0000000p+2	0x1.099ba80000000p+2	0x1.0a86e40000000p+2	0x1.c2dda60000000p+10
89	0x1.6217ca0000000p-3	0x1.5a64520000000p+5	0x1.f8c9080000000p+4	0x1.da5b5a0000000p+4	0x1.c2dda60000000p+10
