2026/08/26 21:07:20.435, 0, 0 %, 0 %, 1017 MiB, 25.86 W
2026/08/26 21:07:20.435, 1, 0 %, 0 %, 9 MiB, 29.60 W
2026/08/26 21:07:20.935, 0, 0 %, 0 %, 1017 MiB, 25.83 W
2026/08/26 21:07:20.935, 1, 0 %, 0 %, 9 MiB, 29.49 W
2026/08/26 21:07:21.435, 0, 0 %, 0 %, 1017 MiB, 25.83 W
2026/08/26 21:07:21.436, 1, 0 %, 0 %, 9 MiB, 29.49 W
2026/08/26 21:07:21.936, 0, 0 %, 0 %, 1017 MiB, 25.92 W
2026/08/26 21:07:21.936, 1, 0 %, 0 %, 9 MiB, 29.45 W
2026/08/26 21:07:22.436, 0, 0 %, 0 %, 1017 MiB, 25.92 W
2026/08/26 21:07:22.437, 1, 0 %, 0 %, 9 MiB, 29.45 W
2026/08/26 21:07:22.937, 0, 0 %, 0 %, 1017 MiB, 25.98 W
2026/08/26 21:07:22.937, 1, 0 %, 0 %, 9 MiB, 29.49 W
2026/08/26 21:07:23.437, 0, 0 %, 0 %, 1017 MiB, 25.98 W
2026/08/26 21:07:23.438, 1, 0 %, 0 %, 9 MiB, 29.49 W
2026/08/26 21:07:23.938, 0, 0 %, 0 %, 1017 MiB, 25.90 W
2026/08/26 21:07:23.938, 1, 0 %, 0 %, 9 MiB, 29.50 W
2026/08/26 21:07:24.438, 0, 0 %, 0 %, 1017 MiB, 25.90 W
2026/08/26 21:07:24.438, 1, 0 %, 0 %, 9 MiB, 29.50 W
2026/08/26 21:07:24.939, 0, 0 %, 0 %, 1017 MiB, 25.83 W
2026/08/26 21:07:24.939, 1, 0 %, 0 %, 9 MiB, 29.37 W
2026/08/26 21:07:25.439, 0, 0 %, 0 %, 1017 MiB, 25.83 W
2026/08/26 21:07:25.439, 1, 0 %, 0 %, 9 MiB, 29.37 W
2026/08/26 21:07:25.940, 0, 0 %, 0 %, 1017 MiB, 25.82 W
2026/08/26 21:07:25.940, 1, 0 %, 0 %, 9 MiB, 29.25 W
2026/08/26 21:07:26.440, 0, 0 %, 0 %, 1017 MiB, 25.82 W
2026/08/26 21:07:26.440, 1, 0 %, 0 %, 9 MiB, 29.25 W
2026/08/26 21:07:26.941, 0, 0 %, 0 %, 1017 MiB, 25.67 W
2026/08/26 21:07:26.941, 1, 0 %, 0 %, 9 MiB, 29.19 W
