step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
90	0x1.f6e10e0000000p-4	0x1.0ba9ca0000000p+1	0x1.ad8e180000000p+0	0x1.24017a0000000p+0	0x1.c2c5e20000000p+10
91	0x1.8663460000000p-4	0x1.12a12a0000000p+1	0x1.b8dc1a0000000p+0	0x1.34e5e60000000p+0	0x1.c2c5e20000000p+10
92	0x1.8c06ec0000000p-4	0x1.3d3c9c0000000p+3	0x1.e269a80000000p+2	0x1.9b05cc0000000p+2	0x1.c2c5e20000000p+10
93	0x1.07e7f80000000p-3	0x1.53dd5c0000000p+2	0x1.042e300000000p+2	0x1.aabfe00000000p+1	0x1.c2c5e20000000p+10
94	0x1.7d0ac40000000p-3	0x1.91a4560000000p+4	0x1.3c06360000000p+4	0x1.edd8e20000000p+3	0x1.c2c5e20000000p+10
95	0x1.cbe67e0000000p-4	0x1.6380600000000p+2	0x1.0d6cb80000000p+2	0x1.cc33d60000000p+1	0x1.c2c5e20000000p+10
96	0x1.617a840000000p-4	0x1.e4babe0000000p+0	0x1.8ca19e0000000p+0	0x1.f226ae0000000p-1	0x1.c2c5e40000000p+10
97	0x1.4d8ae00000000p-4	0x1.7a313a0000000p+0	0x1.3d33580000000p+0	0x1.62b0aa0000000p-1	0x1.c2c5e20000000p+10
98	0x1.cf254e0000000p-4	0x1.5eec6a0000000p+1	0x1.1a3ad00000000p+1	0x1.8ffc3a0000000p+0	0x1.c2c5e20000000p+10
99	0x1.7f914a0000000p-4	0x1.1428da0000000p+1	0x1.c383d20000000p+0	0x1.1d0a9a0000000p+0	0x1.c2c5e20000000p+10
